feature,importance
num__peer_deviation_score,0.305729219774591
num__process_risk_score,0.07763948985231177
num__off_hours,0.07034263176026984
num__destination_risk_score,0.06603118193437005
num__bytes_downloaded_mb,0.055782966789912826
num__new_device,0.05398448421227986
num__mfa_denials,0.05144197728169849
num__sensitive_resources,0.04721707431846329
num__files_read,0.04553136955005276
num__failed_logins_30m,0.04369816314987863
num__data_upload_mb,0.04111552119476324
num__privilege_mismatch,0.03998691851724404
num__unique_resources,0.02748970896320921
num__denied_accesses,0.016315331121724643
cat__department_Customer Service,0.00701302426423781
cat__department_Information Technology,0.006486331363433505
cat__department_Finance,0.0047454566389502125
cat__department_Human Resources,0.0046624365484523875
cat__department_Loans,0.004420620274119046
cat__department_Compliance,0.003602656898003501
num__impossible_travel,0.003404352510255264
num__mfa_approvals,0.0033938640751736476
cat__source_country_BW,0.0030302323839904595
cat__department_Legal,0.0029464342789649904
cat__source_country_ZA,0.002575974043689012
cat__department_Marketing,0.002414370635507383
cat__department_Internal Audit,0.0022629903814964745
cat__department_Risk,0.0020078099042721096
cat__department_Treasury,0.0018916165669353503
cat__department_Executive,0.0015420649857761073
cat__department_Procurement,0.0012937258259731474
