session_id,session_start,user_id,rule_score,rule_flag_count,risk_level
CASE-KYC-01,2026-09-11 18:33:00,mhaingura,85.0,12,High
CASE-EXFIL-01,2026-09-12 00:35:00,mhaingura,81.0,10,High
CASE-EXFIL-02,2026-09-12 00:43:00,mhaingura,65.0,8,High
CASE-VPN-01,2026-09-11 18:18:00,mhaingura,59.0,9,High
S00150,2026-09-09 01:30:00,hamukwaya,29.0,4,Below threshold
S00414,2026-09-12 13:42:00,nambala,28.0,4,Below threshold
S00278,2026-09-08 08:51:00,katjiuongua,27.0,4,Below threshold
S00072,2026-09-13 17:40:00,ntinda,26.0,4,Below threshold
S00118,2026-09-11 12:09:00,nambala,23.0,3,Below threshold
S00093,2026-09-10 12:40:00,shilongo,22.0,3,Below threshold
CASE-PHISH-01,2026-09-11 17:02:00,mhaingura,22.0,3,Below threshold
S00049,2026-09-12 00:51:00,murorua,22.0,3,Below threshold
S00288,2026-09-13 19:36:00,murorua,22.0,3,Below threshold
S00370,2026-09-12 19:05:00,murorua,21.0,3,Below threshold
S00330,2026-09-07 06:33:00,katjiuongua,20.0,3,Below threshold
